"","country","crop_type","site","colony_code","total_production","queenCocoon_production","wt_change","wt_max","wt_1","wt_2","wt_3","cropland_prop","cropland_prop_centered","pesticideRisk","pesticideRisk_log_centered","MCR","uniqueCompound_count"
"212","IRE","OSR",8,"IRE_OSR_08_B1",1769,4,0.837254406869842,1453,629,1113,1453,0.5468,-0.0400104662367866,0.219321026826577,-1.21954562617906,1.57597823562526,3
"213","IRE","OSR",8,"IRE_OSR_08_B2",639,27,0.348590825538773,880,621,652,880,0.5468,-0.0400104662367866,0.219321026826577,-1.21954562617906,1.57597823562526,3
"214","IRE","OSR",8,"IRE_OSR_08_B3",642,33,0.508473867264638,991,596,772,991,0.5468,-0.0400104662367866,0.219321026826577,-1.21954562617906,1.57597823562526,3
"215","IRE","APP",9,"IRE_APP_09_B1",867,2,0.762260817701291,1183,552,669,1183,0.261,-1.3604767556828,21139.4204379086,1.98035275506822,1.00182470770958,10
"216","IRE","APP",9,"IRE_APP_09_B2",320,0,0.311018752631017,737,540,713,737,0.261,-1.3604767556828,21139.4204379086,1.98035275506822,1.00182470770958,10
"217","IRE","APP",9,"IRE_APP_09_B3",1058,3,0.747115465396799,1123,532,916,1123,0.261,-1.3604767556828,21139.4204379086,1.98035275506822,1.00182470770958,10
"218","IRE","APP",10,"IRE_APP_10_B1",533,7,0.234478036388316,732,579,732,676,0.2896,-1.22833772181941,160.261723013159,0.573185571344972,1.09173924847392,10
"219","IRE","APP",10,"IRE_APP_10_B2",721,2,0.367724780125317,832,576,832,765,0.2896,-1.22833772181941,160.261723013159,0.573185571344972,1.09173924847392,10
"220","IRE","APP",10,"IRE_APP_10_B3",359,7,0.373295825174773,780,537,726,780,0.2896,-1.22833772181941,160.261723013159,0.573185571344972,1.09173924847392,10
"221","IRE","APP",12,"IRE_APP_12_B1",410,2,0.267383995337804,699,535,699,646,0.1885,-1.69544458628055,0.0278330019880716,-1.48344627510242,1,1
"222","IRE","APP",12,"IRE_APP_12_B2",422,2,0.451464516356028,823,524,823,702,0.1885,-1.69544458628055,0.0278330019880716,-1.48344627510242,1,1
"223","IRE","APP",12,"IRE_APP_12_B3",577,0,0.388914762164487,779,528,779,760,0.1885,-1.69544458628055,0.0278330019880716,-1.48344627510242,1,1
"224","IRE","APP",14,"IRE_APP_14_B1",350,4,0.367581790205863,777,538,777,677,0.3364,-1.01211021186114,4.49778703830156,-0.45069842685087,1.44870582512736,11
