IR1_190627_x,IR1_190627_y,IR2_190627_x,IR2_190627_y
470.0838,0.1904281,470.0838,0.2429941
470.566,0.1939049,470.566,0.2508702
471.0481,0.1958817,471.0481,0.2578007
471.5302,0.1959443,471.5302,0.2621119
472.0124,0.1940789,472.0124,0.262754
472.4945,0.1908495,472.4945,0.260022
472.9767,0.1872244,472.9767,0.2554369
473.4588,0.1841164,473.4588,0.2507536
473.9409,0.1820138,473.9409,0.2470221
474.4231,0.1809155,474.4231,0.2443522
474.9052,0.1805135,474.9052,0.2422874
475.3874,0.1804392,475.3874,0.2403464
475.8695,0.1804694,475.8695,0.2384433
476.3516,0.1806206,476.3516,0.2369871
476.8338,0.1811099,476.8338,0.2366665
477.3159,0.1822039,477.3159,0.2380383
477.798,0.1840395,477.798,0.2411446
478.2802,0.1865028,478.2802,0.2453367
478.7623,0.1892308,478.7623,0.2494227
479.2444,0.1917313,479.2444,0.2521297
479.7266,0.1935659,479.7266,0.2527036
480.2087,0.1944904,480.2087,0.2512836
480.6909,0.1944802,480.6909,0.2488148
481.173,0.1936421,481.173,0.2465807
481.6552,0.1921002,481.6552,0.2456647
482.1373,0.1899422,482.1373,0.2465716
482.6194,0.1872732,482.6194,0.2490934
483.1016,0.184336,483.1016,0.2524242
483.5837,0.1816069,483.5837,0.2555216
484.0658,0.179746,484.0658,0.2575714
484.548,0.1793951,484.548,0.258305
485.0301,0.1809115,485.0301,0.2579722
485.5122,0.1841978,485.5122,0.2570613
485.9944,0.1887005,485.9944,0.2560113
486.4765,0.1935899,486.4765,0.2550986
486.9586,0.1980499,486.9586,0.2544911
487.4408,0.2015758,487.4408,0.2543711
487.9229,0.2041314,487.9229,0.2549862
488.4051,0.2061014,488.4051,0.2565866
488.8872,0.2080684,488.8872,0.2592692
489.3693,0.2105327,489.3693,0.2628271
489.8515,0.213686,489.8515,0.2666885
490.3336,0.2173311,490.3336,0.2700264
490.8157,0.2209669,490.8157,0.2720482
491.2979,0.2240331,491.2979,0.2723776
491.78,0.2261789,491.78,0.2712878
492.2621,0.2274115,492.2621,0.2695971
492.7443,0.2280399,492.7443,0.2682633
493.2264,0.2284957,493.2264,0.2679443
493.7086,0.2291619,493.7086,0.2687594
494.1907,0.2303107,494.1907,0.2703418
494.6729,0.2321271,494.6729,0.2720963
495.155,0.2347883,495.155,0.2735355
495.6371,0.2384895,495.6371,0.2745052
496.1193,0.2433854,496.1193,0.2752073
496.6014,0.2494572,496.6014,0.2760234
497.0835,0.2563727,497.0835,0.277264
497.5657,0.2634297,497.5657,0.2789832
498.0478,0.2696748,498.0478,0.2809507
498.5299,0.2742072,498.5299,0.2827945
499.0121,0.2765607,499.0121,0.2842336
499.4942,0.2769307,499.4942,0.2852488
499.9763,0.2761174,499.9763,0.2861014
500.4585,0.2752066,500.4585,0.2871923
500.9406,0.2751673,500.9406,0.2888595
501.4228,0.276506,501.4228,0.2911946
501.9049,0.2791114,501.9049,0.2939824
502.3871,0.2823685,502.3871,0.2968055
502.8692,0.2855486,502.8692,0.2992837
503.3513,0.2882394,503.3513,0.3012699
503.8335,0.290534,503.8335,0.3028565
504.3156,0.2928989,504.3156,0.3042079
504.7977,0.2958926,504.7977,0.3054
505.2799,0.2999168,505.2799,0.3063704
505.762,0.3050793,505.762,0.3070193
