DateTime,West Village A
2024-01-13 20:30:00,29.885
2024-01-13 21:00:00,28.017
2024-01-13 21:30:00,26.313
2024-01-13 22:00:00,26.553
2024-01-13 22:30:00,23.883
2024-01-13 23:00:00,25.346
2024-01-13 23:30:00,24.166
2024-01-14 00:00:00,23.311
2024-01-14 00:30:00,22.375
2024-01-14 01:00:00,21.827
2024-01-14 01:30:00,19.963
2024-01-14 02:00:00,19.508
2024-01-14 02:30:00,18.79
2024-01-14 03:00:00,16.881
2024-01-14 03:30:00,15.171
2024-01-14 04:00:00,15.171
2024-01-14 04:30:00,16.319
2024-01-14 05:00:00,14.857
2024-01-14 05:30:00,15.071
2024-01-14 06:00:00,16.159
2024-01-14 06:30:00,13.546
2024-01-14 07:00:00,10.755
2024-01-14 07:30:00,8.991
2024-01-14 08:00:00,18.027
2024-01-14 08:30:00,33.932
2024-01-14 09:00:00,41.619
2024-01-14 09:30:00,31.125
2024-01-14 10:00:00,32.619
2024-01-14 10:30:00,24.023
2024-01-14 11:00:00,23.637
2024-01-14 11:30:00,23.541
2024-01-14 12:00:00,22.983
2024-01-14 12:30:00,21.801
2024-01-14 13:00:00,22.875
2024-01-14 13:30:00,21.95
2024-01-14 14:00:00,20.077
2024-01-14 14:30:00,23.225
2024-01-14 15:00:00,28.066
2024-01-14 15:30:00,28.767
2024-01-14 16:00:00,26.847
2024-01-14 16:30:00,26.529
2024-01-14 17:00:00,22.625
2024-01-14 17:30:00,25.606
2024-01-14 18:00:00,28.846
2024-01-14 18:30:00,27.115
2024-01-14 19:00:00,29.71
2024-01-14 19:30:00,35.385
2024-01-14 20:00:00,35.593
2024-01-14 20:30:00,31.868
2024-01-14 21:00:00,30.561
2024-01-14 21:30:00,30.162
2024-01-14 22:00:00,28.233
2024-01-14 22:30:00,30.364
2024-01-14 23:00:00,29.982
2024-01-14 23:30:00,29.661
2024-01-15 00:00:00,31.312
2024-01-15 00:30:00,31.899
2024-01-15 01:00:00,32.29
2024-01-15 01:30:00,29.247
2024-01-15 02:00:00,25.958
2024-01-15 02:30:00,23.585
2024-01-15 03:00:00,21.141
2024-01-15 03:30:00,15.105
2024-01-15 04:00:00,8.382
2024-01-15 04:30:00,8.71
2024-01-15 05:00:00,14.44
2024-01-15 05:30:00,18.595
2024-01-15 06:00:00,15.937
2024-01-15 06:30:00,22.014
2024-01-15 07:00:00,26.053
2024-01-15 07:30:00,23.719
2024-01-15 08:00:00,27.942
2024-01-15 08:30:00,40.903
2024-01-15 09:00:00,37.339
2024-01-15 09:30:00,41.794
2024-01-15 10:00:00,42.155
2024-01-15 10:30:00,39.435
2024-01-15 11:00:00,33.596
2024-01-15 11:30:00,38.229
2024-01-15 12:00:00,48.304
2024-01-15 12:30:00,43.219
2024-01-15 13:00:00,29.826
2024-01-15 13:30:00,40.661
2024-01-15 14:00:00,40.229
2024-01-15 14:30:00,34.927
2024-01-15 15:00:00,32.169
2024-01-15 15:30:00,20.309
2024-01-15 16:00:00,7.685
2024-01-15 16:30:00,17.743
2024-01-15 17:00:00,27.215
2024-01-15 17:30:00,38.499
2024-01-15 18:00:00,44.791
2024-01-15 18:30:00,55.267
2024-01-15 19:00:00,54.246
2024-01-15 19:30:00,51.421
2024-01-15 20:00:00,50.825
2024-01-15 20:30:00,45.891
2024-01-15 21:00:00,33.8
2024-01-15 21:30:00,23.163
2024-01-15 22:00:00,27.619
2024-01-15 22:30:00,31.595
2024-01-15 23:00:00,27.937
2024-01-15 23:30:00,16.949
2024-01-16 00:00:00,20.671
2024-01-16 00:30:00,22.433
2024-01-16 01:00:00,19.941
2024-01-16 01:30:00,12.681
2024-01-16 02:00:00,12.488
2024-01-16 02:30:00,8.136
2024-01-16 03:00:00,9.289
2024-01-16 03:30:00,10.591
2024-01-16 04:00:00,17.257
2024-01-16 04:30:00,11.74
2024-01-16 05:00:00,8.124
2024-01-16 05:30:00,18.713
2024-01-16 06:00:00,18.771
2024-01-16 06:30:00,14.381
2024-01-16 07:00:00,15.682
2024-01-16 07:30:00,12.709
2024-01-16 08:00:00,8.395
2024-01-16 08:30:00,17.369
2024-01-16 09:00:00,23.06
2024-01-16 09:30:00,25.089
2024-01-16 10:00:00,30.279
2024-01-16 10:30:00,33.399
2024-01-16 11:00:00,37.224
2024-01-16 11:30:00,33.087
2024-01-16 12:00:00,23.191
2024-01-16 12:30:00,13.577
2024-01-16 13:00:00,7.411
2024-01-16 13:30:00,3.893
2024-01-16 14:00:00,17.086
2024-01-16 14:30:00,29.551
2024-01-16 15:00:00,31.124
2024-01-16 15:30:00,32.332
2024-01-16 16:00:00,30.351
